Address,Quality,Size,Name
0x00000071000001c0,U,000008,sub_71000001C0
0x00000071000001e0,U,000004,__nnDetailNintendoSdkRuntimeObjectFileRefer
0x00000071000001f0,U,000012,nndetailRoGetRoDataStart
0x0000007100000200,U,000012,nndetailRoGetRoDataEnd
0x0000007100000210,U,000004,__nnDetailNintendoSdkRuntimeObjectFile
0x0000007100000220,U,000348,sub_7100000220
0x0000007100000380,U,000156,sub_7100000380
0x0000007100000420,U,000088,sub_7100000420
0x0000007100000480,U,000428,sub_7100000480
0x0000007100000630,U,000232,sub_7100000630
0x00000071000007d0,U,000116,sub_71000007D0
0x0000007100000850,U,000028,sub_7100000850
0x0000007100000870,U,000028,sub_7100000870
0x0000007100000890,U,000028,sub_7100000890
0x00000071000008b0,U,000032,sub_71000008B0
0x00000071000008d0,U,000076,sub_71000008D0
0x0000007100000920,U,000028,sub_7100000920
0x0000007100000940,U,000028,sub_7100000940
0x0000007100000960,U,000028,sub_7100000960
0x0000007100000980,U,000028,sub_7100000980
0x00000071000009a0,U,000144,sub_71000009A0
0x0000007100000a30,U,000144,sub_7100000A30
0x0000007100000ac0,U,000024,sub_7100000AC0
0x0000007100000ae0,U,000248,sub_7100000AE0
0x0000007100000be0,U,000184,sub_7100000BE0
0x0000007100000ca0,U,000024,sub_7100000CA0
0x0000007100000cc0,U,000184,sub_7100000CC0
0x0000007100000d80,U,000028,sub_7100000D80
0x0000007100000da0,U,000316,sub_7100000DA0
0x0000007100000ee0,U,000008,sub_7100000EE0
0x0000007100000ef0,U,000012,sub_7100000EF0
0x0000007100000f00,U,000004,nullsub_1
0x0000007100000f10,U,000004,j__ZdlPv
0x0000007100000f20,U,000004,nullsub_2
0x0000007100000f30,U,000008,sub_7100000F30
0x0000007100000f40,U,000008,sub_7100000F40
0x0000007100000f50,U,000004,j__ZdlPv_0
0x0000007100000f60,U,000004,nullsub_3
0x0000007100000f70,U,000004,j__ZdlPv_1
0x0000007100000f80,U,000236,sub_7100000F80
0x0000007100001070,U,000004,nullsub_4
0x0000007100001080,U,000004,j__ZdlPv_2
0x0000007100001090,U,000064,sub_7100001090
0x00000071000010d0,U,000080,sub_71000010D0
0x0000007100001120,U,000008,sub_7100001120
0x0000007100001130,U,000360,sub_7100001130
0x00000071000012a0,U,000876,sub_71000012A0
0x0000007100001610,U,000316,sub_7100001610
0x0000007100001750,U,000096,sub_7100001750
0x00000071000017b0,U,000088,sub_71000017B0
0x0000007100001810,U,000008,sub_7100001810
0x0000007100001820,U,000132,sub_7100001820
0x00000071000018b0,U,000772,sub_71000018B0
0x0000007100001bc0,U,000084,sub_7100001BC0
0x0000007100001c20,U,000032,sub_7100001C20
0x0000007100001c40,U,000404,sub_7100001C40
0x0000007100001de0,U,000056,sub_7100001DE0
0x0000007100001fe0,U,000008,sub_7100001FE0
0x0000007100001ff0,U,000008,sub_7100001FF0
0x0000007100002000,U,000008,sub_7100002000
0x0000007100002010,U,000004,nullsub_5
0x0000007100002020,U,000004,nullsub_6
0x0000007100002030,U,000084,sub_7100002030
0x0000007100002090,U,000020,sub_7100002090
0x00000071000020b0,U,000060,sub_71000020B0
0x00000071000020f0,U,000208,sub_71000020F0
0x00000071000021c0,U,000408,sub_71000021C0
0x0000007100002360,U,000488,sub_7100002360
0x0000007100002550,U,000256,sub_7100002550
0x0000007100002670,U,000424,sub_7100002670
0x0000007100002820,U,000472,sub_7100002820
0x0000007100002a00,U,000008,sub_7100002A00
0x0000007100002a10,U,000160,sub_7100002A10
0x0000007100002ab0,U,000164,sub_7100002AB0
0x0000007100002b60,U,000164,sub_7100002B60
0x0000007100002c10,U,000036,sub_7100002C10
0x0000007100002c40,U,000080,sub_7100002C40
0x0000007100002c90,U,000088,sub_7100002C90
0x0000007100002cf0,U,000012,sub_7100002CF0
0x0000007100002d00,U,000004,nullsub_7
0x0000007100002d10,U,000004,j__ZdlPv_3
0x0000007100002d20,U,000008,sub_7100002D20
0x0000007100002d30,U,000008,sub_7100002D30
0x0000007100002d40,U,000008,sub_7100002D40
0x0000007100002d50,U,000008,sub_7100002D50
0x0000007100002d60,U,000108,sub_7100002D60
0x0000007100002dd0,U,000140,sub_7100002DD0
0x0000007100002e60,U,000020,sub_7100002E60
0x0000007100002e80,U,000168,sub_7100002E80
0x0000007100002f30,U,000028,sub_7100002F30
0x0000007100002f50,U,000004,nullsub_8
0x0000007100002f60,U,000120,sub_7100002F60
0x0000007100002fe0,U,000080,sub_7100002FE0
0x0000007100003030,U,000012,sub_7100003030
0x0000007100003040,U,000008,sub_7100003040
0x0000007100003050,U,000356,sub_7100003050
0x00000071000031c0,U,000332,sub_71000031C0
0x0000007100003310,U,000580,sub_7100003310
0x0000007100003560,U,000060,sub_7100003560
0x00000071000035a0,U,000152,sub_71000035A0
0x0000007100003640,U,000008,sub_7100003640
0x0000007100003650,U,000008,sub_7100003650
0x0000007100003660,U,000376,sub_7100003660
0x00000071000037e0,U,000072,sub_71000037E0
0x0000007100003830,U,000008,sub_7100003830
0x0000007100003840,U,000056,sub_7100003840
0x0000007100003880,U,000060,sub_7100003880
0x00000071000038c0,U,000008,sub_71000038C0
0x00000071000038d0,U,000080,sub_71000038D0
0x0000007100003920,U,000008,sub_7100003920
0x0000007100003930,U,000008,sub_7100003930
