0x710181c3e0,"AmiiboNpcDirector"
0x710181c3f2,"First"
0x710181c3f8,"Second"
0x710181c3ff,"Third"
0x710181c405,"Touch"
0x710181c40b,"ClothName"
0x710181c415,"CapName"
0x710181c41d,"TouchAmiibo"
0x710181c429,"AmiiboNpc用データホルダ"
0x710181c448,"コレクトコインお助け"
0x710181c467,"コレクトコイン[amiibo]"
0x710181c485,"InvalidateStageMapArea"
0x710181c49c,"AmiiboKoopa"
0x710181c4a8,"PlayerPoint"
0x710181c4b4,"ランダムアイテムお助け"
0x710181c4d6,"ライフアップアイテム[amiibo]"
0x710181c4fd,"ライフアップアイテム2D[amiibo]"
0x710181c526,"コイン[amiibo]"
0x710181c538,"コイン2D[amiibo]"
0x710181c54c,"HelpAmiiboDirector"
0x710181c55f,"amiiboアイコン"
0x710181c572,"AmiiboMode"
0x710181c57d,"amiiboアイコン[アイコンパーツ]"
0x710181c5a7,"ParAmiiboIcon"
0x710181c5b5,"Reject"
0x710181c5bc,"Wait"
0x710181c5c1,"Hide"
0x710181c5c6,"Appear"
0x710181c5cd,"End"
0x710181c5d1,"Invalid"
0x710181c5d9,"タッチ"
0x710181c5e3,"アイテム出現用amiiboディレクター"
0x710181c611,"コイン降らすお助け"
0x710181c62d,"AmiiboPeach"
0x710181c639,"無敵攻撃お助け"
0x710181c64f,"クッパamiibo"
0x710181c65f,"ライフアップアイテムお助け"
0x710181c687,"最大ライフアップアイテム[amiibo]"
0x710181c6b4,"最大ライフアップアイテム2D[amiibo]"
0x710181c6e3,"コレクトコイン誘導お助け"
0x710181c708,"AmiiboMario"
0x710181c714,"プレイヤー無敵お助け"
0x710181c733,"ヨッシーお助け"
0x710181c749,"amiiboヨッシー"
0x710181c75c,"ItemAmiiboKoopa"
0x710181c76c,"出現"
0x710181c773,"SearchAmiiboData"
0x710181c784,"Id"
0x710181c787,"NumberingId"
0x710181c793,"SearchStartTime"
0x710181c7a3,"BirdNumMax"
0x710181c7ae,"ForceType"
0x710181c7b8,"滝"
0x710181c7bc,"滝の入り口"
0x710181c7cc,"LinkRecoveryPos"
0x710181c7dc,"SurfaceDistance"
0x710181c7ec,"GravityOffset"
0x710181c7fa,"SnapGravityType"
0x710181c80a,"AreaCubeBase"
0x710181c817,"AreaCylinder"
0x710181c824,"AreaCylinderCenter"
0x710181c837,"MaterialCodeName"
0x710181c848,"IsGuide3D"
0x710181c852,"TargetPosition"
0x710181c861,"StainType"
0x710181c86b,"OnCondition"
0x710181c877,"IsEnableAllPlayer"
0x710181c889,"WaitForNextScene"
0x710181c89a,"WaitForEnding"
0x710181c8a8,"DeadWipeNormal"
0x710181c8b7,"DeadWipeAbyss"
0x710181c8c5,"DeadWipeAbyssWithCapMsg"
0x710181c8dd,"WsdRsBgmMarioPlayGuitarPomcho"
0x710181c8fb,"BandMan"
0x710181c903,"PlayAtFes1"
0x710181c90e,"PlayAtFes2"
0x710181c919,"CapMan"
0x710181c920,"Excited"
0x710181c928,"CapWoman"
0x710181c931,"CityMan"
0x710181c939,"ExcitedHandclap"
0x710181c949,"ExcitedMax"
0x710181c954,"ExcitedMaxJump"
0x710181c963,"HandClapWait"
0x710181c970,"HandClapWaitMiddle"
0x710181c983,"CityManHall"
0x710181c98f,"CityManLow"
0x710181c99a,"CityMayorDress"
0x710181c9a9,"DanceA"
0x710181c9b0,"DanceB"
0x710181c9b7,"DanceC"
0x710181c9be,"DanceHat"
0x710181c9c7,"DanceHelp"
0x710181c9d1,"CityWoman"
0x710181c9db,"CityWomanHall"
0x710181c9e9,"CityWomanLow"
0x710181c9f6,"DesertMan"
0x710181ca00,"DesertManL"
0x710181ca0b,"ForestMan"
0x710181ca15,"ExcitedRandomA"
0x710181ca24,"KinopioNpc"
0x710181ca2f,"MusicWait"
0x710181ca39,"LakeMan"
0x710181ca41,"LavaMan"
0x710181ca49,"LavaManS"
0x710181ca52,"Mario"
0x710181ca58,"AreaWaitDance01"
0x710181ca68,"RadioCassette"
0x710181ca76,"WaitDance"
0x710181ca80,"SeaMan"
0x710181ca87,"SeaWoman"
0x710181ca90,"SnowMan"
0x710181ca98,"ExcitedRandomAx"
0x710181caa9,"SyncTargetActionInfoList"
0x710181cac2,"TargetArchiveName"
0x710181cad4,"TargetActionName"
0x710181cae5,"AnimePeakOffset"
0x710181caf5,"AnimePeakOffsetRandomRange"
0x710181cb10,"NecessaryMeasuresNumScale"
0x710181cb2a,"IsSyncedAnimeImmediately"
